date,MOD_STB,Hami_CDN,MOD_FIFAFlow,HAMI_WEBGA
2018-06-13-00:00,3197,175,32017,2168
2018-06-13-00:05,3196,164,32017,2168
2018-06-13-00:10,3194,157,32017,2168
2018-06-13-00:15,3028,151,32017,2168
2018-06-13-00:20,3024,140,32017,2168
2018-06-13-00:25,3026,138,32017,2168
2018-06-13-00:30,2936,138,32017,2168
2018-06-13-00:35,2938,137,32017,2168
2018-06-13-00:40,2935,128,32017,2168
2018-06-13-00:45,2930,124,32017,2168
2018-06-13-00:50,2930,122,32017,2168
2018-06-13-00:55,2931,117,32017,2168
2018-06-13-01:00,2867,108,32017,1092
2018-06-13-01:05,2865,114,32017,1092
2018-06-13-01:10,2865,111,32017,1092
2018-06-13-01:15,2786,106,32017,1092
2018-06-13-01:20,2789,101,32017,1092
2018-06-13-01:25,2788,96,32017,1092
2018-06-13-01:30,2691,94,32017,1092
2018-06-13-01:35,2696,93,32017,1092
2018-06-13-01:40,2696,94,32017,1092
2018-06-13-01:45,2688,91,32017,1092
2018-06-13-01:50,2688,92,32017,1092
2018-06-13-01:55,2686,91,32017,1092
2018-06-13-02:00,2648,92,32017,694
2018-06-13-02:05,2649,90,32017,694
2018-06-13-02:10,2648,84,32017,694
2018-06-13-02:15,2624,82,32017,694
2018-06-13-02:20,2626,83,32017,694
2018-06-13-02:25,2623,76,32017,694
2018-06-13-02:30,2522,68,32017,694
2018-06-13-02:35,2520,61,32017,694
2018-06-13-02:40,2520,61,32017,694
2018-06-13-02:45,2506,61,32017,694
2018-06-13-02:50,2506,61,32017,694
2018-06-13-02:55,2506,60,32017,694
2018-06-13-03:00,2493,61,32017,414
2018-06-13-03:05,2493,59,32017,414
2018-06-13-03:10,2492,61,32017,414
2018-06-13-03:15,2486,58,32017,414
2018-06-13-03:20,2486,58,32017,414
2018-06-13-03:25,2486,56,32017,414
2018-06-13-03:30,2450,55,32017,414
2018-06-13-03:35,2449,54,32017,414
