date,MOD,Hami Video
2018-06-13 0:00,3197,175
2018-06-13 0:05,3196,164
2018-06-13 0:10,3194,157
2018-06-13 0:15,3028,151
2018-06-13 0:20,3024,140
2018-06-13 0:25,3026,138
2018-06-13 0:30,2936,138
2018-06-13 0:35,2938,137
2018-06-13 0:40,2935,128
2018-06-13 0:45,2930,124
2018-06-13 0:50,2930,122
2018-06-13 0:55,2931,117
2018-06-13 1:00,2867,108
2018-06-13 1:05,2865,114
2018-06-13 1:10,2865,111
2018-06-13 1:15,2786,106
2018-06-13 1:20,2789,101
2018-06-13 1:25,2788,96
2018-06-13 1:30,2691,94
2018-06-13 1:35,2696,93
2018-06-13 1:40,2696,94
2018-06-13 1:45,2688,91
2018-06-13 1:50,2688,92
2018-06-13 1:55,2686,91
2018-06-13 2:00,2648,92
2018-06-13 2:05,2649,90
2018-06-13 2:10,2648,84
2018-06-13 2:15,2624,82
2018-06-13 2:20,2626,83
2018-06-13 2:25,2623,76
2018-06-13 2:30,2522,68
2018-06-13 2:35,2520,61
2018-06-13 2:40,2520,61
2018-06-13 2:45,2506,61
2018-06-13 2:50,2506,61
2018-06-13 2:55,2506,60
2018-06-13 3:00,2493,61
2018-06-13 3:05,2493,59
2018-06-13 3:10,2492,61
2018-06-13 3:15,2486,58
2018-06-13 3:20,2486,58
2018-06-13 3:25,2486,56
2018-06-13 3:30,2450,55
2018-06-13 3:35,2449,54
2018-06-13 3:40,2449,56
2018-06-13 3:45,2452,52
2018-06-13 3:50,2452,53
2018-06-13 3:55,2452,54
2018-06-13 4:00,2438,53
2018-06-13 4:05,2438,50
2018-06-13 4:10,2438,50
2018-06-13 4:15,2406,50
2018-06-13 4:20,2406,49
2018-06-13 4:25,2406,50
2018-06-13 4:30,2407,48
2018-06-13 4:35,2406,47
2018-06-13 4:40,2406,46
2018-06-13 4:45,2413,48
2018-06-13 4:50,2413,46
2018-06-13 4:55,2412,44
2018-06-13 5:00,2389,42
2018-06-13 5:05,2389,42
2018-06-13 5:10,2389,40
2018-06-13 5:15,2382,38
2018-06-13 5:20,2382,37
2018-06-13 5:25,2382,38
2018-06-13 5:30,2370,38
2018-06-13 5:35,2370,39
2018-06-13 5:40,2370,42
2018-06-13 5:45,2383,42
2018-06-13 5:50,2383,42
2018-06-13 5:55,2384,40
2018-06-13 6:00,2398,38
2018-06-13 6:05,2398,42
2018-06-13 6:10,2398,41
2018-06-13 6:15,2341,39
2018-06-13 6:20,2341,36
2018-06-13 6:25,2341,35
2018-06-13 6:30,2261,36
2018-06-13 6:35,2261,33
2018-06-13 6:40,2263,33
2018-06-13 6:45,2222,35
2018-06-13 6:50,2221,34
2018-06-13 6:55,2220,34
2018-06-13 7:00,2170,35
2018-06-13 7:05,2169,38
2018-06-13 7:10,2169,37
2018-06-13 7:15,2124,30
2018-06-13 7:20,2125,32
2018-06-13 7:25,2124,35
2018-06-13 7:30,2090,36
2018-06-13 7:35,2091,36
2018-06-13 7:40,2091,36
2018-06-13 7:45,2096,39
2018-06-13 7:50,2097,37
2018-06-13 7:55,2097,38
2018-06-13 8:00,1847,32
2018-06-13 8:05,1846,29
2018-06-13 8:10,1845,31
